 Line, Type of investment,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,
,,2006,,,,2007 ,,,,2008,,,,2009 ,,,,2010,,,,2011 ,,,,2012,,,,2013 ,,,,2014,,,,2015 ,,,,2016,,,,2017 ,,
,,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III
1,U.S. net international investment position (line 4 less line 35),-1656271,-1679424,-2006413,-1808474,-1654830,-1422046,-1232107,-1279493,-1849701,-1835095,-3309696,-3995303,-3856708,-3200061,-2670164,-2627626,-2769546,-3181212,-2746809,-2511788,-2638599,-2785715,-4133952,-4454997,-4547907,-5222050,-4953117,-4518300,-5042555,-5467480,-4933500,-5372654,-5439735,-5434684,-6175444,-6980245,-6908374,-6818773,-7346438,-7493479,-7833442,-8292111,-8035870,-8318378,-8091616,-8004133,-7768745
43,        Debt securities,5147535,5360261,5742448,6051630,6422932,6650961,6810882,7095323,7357632,7358274,7147051,7343440,7263418,7380974,7563074,7545553,7673194,7870077,8358012,8323493,8422137,8602819,8846210,8805342,8968161,9035671,9305446,9433504,9569168,9356230,9487270,9676651,9885208,10069397,10131704,10278908,10406597,10504066,10418525,10436766,10741964,10966914,11023047,10788367,10906421,11263532,11487952
44,          Short term,589969,627533,616627,621409,668608,643357,709144,800047,859419,862965,937530,1099788,1169319,1138813,1107605,977437,940235,946338,971313,919271,886290,871449,846854,830725,816836,803848,854202,844743,914503,882452,829634,891646,904573,879623,870397,911791,947085,941523,889480,955267,948831,925701,953706,945879,942014,979839,948855
45,            Treasury bills and certificates,283078,253270,244681,253331,279615,228764,262209,302698,355671,376743,504793,758010,858614,856841,862615,750437,725805,726862,747492,710280,664932,641382,635127,647673,634173,630097,679051,661654,720235,675367,645031,685527,689327,627612,614066,671636,702290,701278,667144,724731,726608,688156,698788,672377,673011,698748,703726
46,            Other short-term securities,306891,374263,371946,368078,388993,414593,446935,497349,503748,486222,432737,341778,310705,281972,244990,227000,214430,219476,223821,208991,221358,230067,211727,183052,182663,173751,175151,183089,194268,207085,184603,206119,215246,252011,256331,240155,244795,240245,222336,230536,222223,237545,254918,273502,269003,281091,245129
47,          Long term,4557566,4732728,5125821,5430221,5754324,6007604,6101738,6295276,6498213,6495309,6209521,6243652,6094099,6242161,6455469,6568116,6732959,6923739,7386700,7404223,7535847,7731370,7999356,7974617,8151325,8231823,8451244,8588761,8654665,8473778,8657636,8785005,8980635,9189774,9261307,9367117,9459512,9562543,9529045,9481499,9793133,10041213,10069341,9842488,9964407,10283693,10539097
48,            Treasury bonds and notes,1711099,1726941,1811861,1872847,1942381,1964881,1986163,2073744,2200862,2210757,2329086,2494964,2559225,2605142,2723242,2920160,3135897,3342873,3661688,3748544,3875948,4049180,4339272,4356681,4510887,4680774,4793665,4909828,5001076,4919650,5007789,5107089,5258984,5391081,5455085,5486018,5470341,5461863,5438741,5421490,5559898,5592950,5459328,5333904,5406035,5472822,5619804
49,            Other long-term securities,2846467,3005787,3313960,3557374,3811943,4042723,4115575,4221532,4297351,4284552,3880435,3748688,3534874,3637019,3732227,3647956,3597062,3580866,3725011,3655679,3659899,3682190,3660084,3617936,3640438,3551049,3657579,3678933,3653589,3554128,3649847,3677916,3721651,3798693,3806222,3881099,3989171,4100680,4090304,4060009,4233235,4448263,4610013,4508584,4558372,4810871,4919293
50,"      Financial derivatives other than reserves, gross negative fair value",1123500,1228111,1133857,1179159,1198603,1489898,1649656,2487860,4055518,3528055,3137738,5967815,5410292,3892902,3985392,3363444,3315812,4211100,4679187,3541931,3089105,3375029,5107690,4630539,3873953,4088231,3873113,3561985,3208352,2765715,2713453,2939543,2586061,2633640,2708343,3166776,3320520,2443848,2712045,2371927,3002101,3240315,2719354,2147674,1905077,1894288,1671337
51,        Over-the-counter contracts,1105110,1204780,1114914,1156241,1176646,1462713,1621385,2456093,4015089,3469018,3092038,5904724,5373380,3860291,3953022,3333846,3273845,4179917,4649244,3512342,3057775,3345915,5047244,4581255,3825528,4040450,3831621,3527668,3173044,2717685,2667187,2903000,2552846,2599971,2664712,3100777,3254233,2389195,2651739,2328938,2950901,3178643,2669312,2104564,1867883,1852783,1630047
52,          Single-currency interest rate contracts,796990,859969,766008,749009,760432,969166,901771,1434083,2320674,1781034,1602170,3977190,3638340,2691915,2980283,2532612,2556552,3380359,3855297,2787529,2351917,2638079,4095128,3799720,3140763,3360305,3191914,2912113,2563709,2152279,2114023,2319871,2014778,2132641,2049218,2433398,2563247,1832846,2076674,1790942,2366275,2567447,2204195,1568111,1418480,1371990,1166559
